"Date" "x" "y" "Species" "Type" "dist_obs"
"2013-01-01" 660.010612311926 4693.23506428063 "Stenella coeruleoalba" "Social" NA
"2013-05-09" 658.933388042066 4691.51847050808 "Tursiops truncatus" "Social" NA
"2013-08-11" 653.386391267147 4690.43820477416 "Tursiops truncatus" "Social" NA
"2013-09-04" 660.116920214106 4696.68605882735 "Tursiops truncatus" "Social" NA
"2013-09-19" 658.26346378566 4693.48751427083 "Tursiops truncatus" "Social" NA
"2013-09-24" 653.222058838212 4692.26100097566 "Tursiops truncatus" "Social" NA
"2013-09-28" 660.100070110173 4692.78159996864 "Tursiops truncatus" "Social" NA
"2013-10-08" 657.96752099532 4693.71635460239 "Tursiops truncatus" "Social" NA
"2013-10-14" 657.8015060047 4693.84592585559 "Tursiops truncatus" "Social" NA
"2013-10-19" 660.224470608265 4690.7657592151 "Tursiops truncatus" "Social" NA
"2014-06-07" 657.420688120056 4694.37061709055 "Tursiops truncatus" "Social" NA
"2014-06-11" 660.11835606536 4692.48649199098 "Tursiops truncatus" "Social" NA
"2015-06-07" 659.704442146991 4693.33139165825 "Tursiops truncatus" "Social" NA
"2015-07-05" 656.732677943095 4694.53069941112 "Tursiops truncatus" "Social" NA
"2015-07-06" 658.829402197874 4692.17937120328 "Tursiops truncatus" "Social" NA
"2015-08-08" 657.868518382562 4694.05185938281 "Tursiops truncatus" "Social" NA
"2015-08-11" 657.412652930909 4694.43487327653 "Tursiops truncatus" "Social" NA
"2015-08-31" 659.294658002812 4692.18994528988 "Tursiops truncatus" "Social" NA
"2015-11-15" 657.825302309525 4696.18509224996 "Tursiops truncatus" "Social" NA
"2015-12-09" 658.76448248282 4692.13568059147 "Tursiops truncatus" "Social" NA
"2008-07-20" 770.991247275584 4616.35372319973 "Tursiops truncatus" "UNIRM" 0.972
"2008-08-29" 779.102735970984 4611.6291664471 "Tursiops truncatus" "UNIRM" 0.972
"2009-05-10" 780.322502061428 4611.85683800788 "Tursiops truncatus" "UNIRM" 0.972
"2009-07-18" 770.428342205828 4620.83724913369 "Tursiops truncatus" "UNIRM" 0.972
"2009-08-21" 773.439258072588 4615.82501629794 "Tursiops truncatus" "UNIRM" 0.972
"2009-09-29" 780.704290487294 4610.84413612926 "Tursiops truncatus" "UNIRM" 0.972
"2011-05-22" 762.469828668744 4627.53735580449 "Tursiops truncatus" "UNIRM" 0.972
"2011-06-07" 763.511936452975 4622.95782168109 "Tursiops truncatus" "UNIRM" 0.972
"2011-06-26" 769.884240712228 4618.84178950551 "Tursiops truncatus" "UNIRM" 0.972
"2011-07-06" 765.489987152764 4622.63952711626 "Tursiops truncatus" "UNIRM" 0.972
"2011-07-31" 772.759249842818 4618.22004134654 "Tursiops truncatus" "UNIRM" 0.972
"2011-08-08" 766.499421205391 4609.83725260793 "Tursiops truncatus" "UNIRM" 0.972
"2011-08-20" 769.700970980871 4614.4035616436 "Tursiops truncatus" "UNIRM" 0.972
"2011-08-23" 769.512377903758 4596.65492178294 "Stenella coeruleoalba" "UNIRM" 0.972
"2011-09-04" 766.721479608689 4624.80697399263 "Tursiops truncatus" "UNIRM" 0.972
"2011-09-24" 768.016749649557 4622.89494939532 "Tursiops truncatus" "UNIRM" 0.972
"2011-09-24" 765.605544593128 4623.56674412951 "Tursiops truncatus" "UNIRM" 0.972
"2011-10-02" 765.308879946659 4622.08572777435 "Tursiops truncatus" "UNIRM" 0.972
"2012-01-08" 762.469828668744 4627.53735580449 "Tursiops truncatus" "UNIRM" 0.972
"2012-01-10" 769.121848309396 4619.45140220852 "Tursiops truncatus" "UNIRM" 0.972
"2012-04-05" 775.529048945216 4605.15132131534 "Tursiops truncatus" "UNIRM" 0.972
"2012-04-12" 762.386350952169 4616.54185797702 "Tursiops truncatus" "UNIRM" 0.972
"2012-04-26" 751.930286118845 4631.65969250165 "Stenella coeruleoalba" "UNIRM" 0.972
"2012-05-14" 768.25591826621 4623.00510272856 "Tursiops truncatus" "UNIRM" 0.972
"2012-06-05" 766.880563319308 4622.90919704876 "Tursiops truncatus" "UNIRM" 0.972
"2012-07-03" 771.016136950086 4623.03349223918 "Tursiops truncatus" "UNIRM" 0.972
"2012-07-14" 765.308879946659 4622.08572777435 "Tursiops truncatus" "UNIRM" 0.972
"2012-08-02" 755.714837877274 4627.99400169928 "Tursiops truncatus" "UNIRM" 0.972
"2012-08-22" 758.919664257779 4629.69832465708 "Tursiops truncatus" "UNIRM" 0.972
"2012-09-07" 777.620698123538 4610.13045097653 "Tursiops truncatus" "UNIRM" 0.972
"2012-09-17" 771.379248619896 4618.02308984412 "Tursiops truncatus" "UNIRM" 0.972
"2012-12-24" 767.080517695374 4623.98082463451 "Tursiops truncatus" "UNIRM" 0.972
"2017-11-02" 756.746530325486 4583.83534979138 "Stenella coeruleoalba" "UNIRM" 1.3326
"2017-11-02" 757.249896583454 4591.74683693528 "Tursiops truncatus" "UNIRM" 1.2088
"2018-02-19" 715.57725137441 4617.22248018571 "Stenella coeruleoalba" "UNIRM" 0.972
"2018-03-22" 715.57725137441 4617.22248018571 "Stenella coeruleoalba" "UNIRM" 0.972
"2018-03-22" 730.166420657729 4619.08778822688 "Stenella coeruleoalba" "UNIRM" 0.972
"2018-04-01" 759.835504692298 4605.42596681249 "Stenella coeruleoalba" "UNIRM" 0.972
"2018-05-20" 730.549485149777 4624.08423138295 "Stenella coeruleoalba" "UNIRM" 2.34319
